config,model,group,n_seeds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_q1,balanced_accuracy_q3,precision_mean,precision_std,precision_median,precision_q1,precision_q3,recall_mean,recall_std,recall_median,recall_q1,recall_q3,f1_mean,f1_std,f1_median,f1_q1,f1_q3,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_q1,roc_auc_q3,average_precision_mean,average_precision_std,average_precision_median,average_precision_q1,average_precision_q3
Baseline,Bagging (Decision Tree),Ensemble,10,0.6576345089034183,0.00322236927923902,0.6566223955272128,0.6559402430503479,0.6603610129133006,0.34722690192046557,0.005028192962975057,0.34705419986913344,0.34569593569860746,0.34757854912071096,0.36436170212765956,0.00802017159695134,0.36070478723404253,0.36012300531914887,0.371343085106383,0.3555068463276367,0.0033533225709079877,0.3553654873301722,0.3531665212449583,0.35746411861697663,0.8171270120505476,0.0025750444996011416,0.8169313923745101,0.8151539099202787,0.8184256177500121,0.2860695068040848,0.007130825915792437,0.2850369243704806,0.2811382765521633,0.2926211574043121
Baseline,Decision Tree,No Ensemble,10,0.6288784394849272,0.003665539833877796,0.6293947865702889,0.6261803239244152,0.6305689353063197,0.21867643752155005,0.004273572792325318,0.21966072269303194,0.21536318112498326,0.22190455381242252,0.34644281914893615,0.008043793101985967,0.34657579787234044,0.3400099734042553,0.35006648936170215,0.2680888863680071,0.004848306063699736,0.2686195106982765,0.2658203098151303,0.2715520713111521,0.6292316559062161,0.0036738597281079366,0.6294327362696743,0.6265722672875508,0.6306877473162948,0.11956343199214685,0.0023897540079352068,0.1195918726491132,0.11837215559537648,0.12129161896436698
Baseline,Logistic Regression,No Ensemble,10,0.7478897322894331,0.0026318784662047287,0.7485348969712569,0.7468670815084332,0.7493305541607722,0.18029898608756217,0.0016463974630741194,0.18040307911702505,0.17916933636013416,0.18153803232246907,0.7352393617021278,0.0057543075860156424,0.7357047872340425,0.7312998670212767,0.7405252659574468,0.28958023789335935,0.002283115131614887,0.2896186959642487,0.2883079145119707,0.2915218288272461,0.8229309299004013,0.004066837456850603,0.8243593523101411,0.8216551739813409,0.825375079754933,0.3110664943953289,0.008385474042300544,0.3121613365928112,0.3080973053953737,0.3157432717142643
Baseline,Random Forest,Ensemble,10,0.6663438457629214,0.0037697023246117804,0.6670046922564784,0.6627555134615306,0.6679149862765148,0.3660291360124696,0.00450526981518979,0.3649907222722542,0.3632398258826781,0.367454989411685,0.37982047872340424,0.008470328894679946,0.3813164893617021,0.37200797872340424,0.38314494680851063,0.37274665024394793,0.0048271332007704644,0.3719487014930562,0.3690063528989257,0.37568948401993996,0.8335697245587307,0.001791002799658397,0.8335742771767825,0.8328028991654438,0.8340726049832693,0.3117233782402022,0.005345321585481664,0.31417914482554143,0.3067120879729499,0.3159311709083265
Baseline,SVM (Lineal),No Ensemble,10,0.7372880960355165,0.0023712878109477175,0.7373108112284812,0.7354373461586401,0.7382696992309579,0.17239660357676256,0.0008197576115417244,0.17229829095790505,0.17203927105703967,0.17289745195852624,0.7233045212765956,0.005604794221405247,0.722406914893617,0.718999335106383,0.726313164893617,0.27842914222502946,0.0013775206691886157,0.27834546176133323,0.27757605180095096,0.2794530083781585,0.8053139704865263,0.002820463303776872,0.8054341851747091,0.8032317468398236,0.8074367473078711,0.2723419851518095,0.004790847418813024,0.27180625333606767,0.2688593378633452,0.2763043193709816
Baseline,XGBoost,Ensemble,10,0.69980321733015,0.0032451875260610056,0.6995364080240207,0.6970214992192028,0.7024285179193199,0.37277383497521976,0.00559918221798979,0.3734427132755823,0.3713198027307135,0.3745714159803823,0.45438829787234036,0.006997722351971803,0.4549534574468085,0.44872007978723405,0.45944148936170215,0.409519062849653,0.004767303185371084,0.4076646498647258,0.4057028028794469,0.41364692600289704,0.8492474210829926,0.0021546405108492962,0.8479625096554613,0.8477196357357708,0.8508351825515523,0.34454113186634483,0.0048753261698379746,0.34483497107739813,0.34190531281992237,0.34676615876356
Tuned,Bagging (Decision Tree),Ensemble,10,0.7735253333461694,0.0034764472759837785,0.7737893590673807,0.7701917576498868,0.7755618993916774,0.23692082174460444,0.004464340770940576,0.2356546922509749,0.23399290337390072,0.23944991966967719,0.7112367021276595,0.010280439386631013,0.7086103723404256,0.7030418882978724,0.7206615691489362,0.355390978725832,0.004504828087187793,0.3542415902120659,0.35181880069774957,0.3585189578433049,0.8572575809462692,0.0023663512721234306,0.855990814676453,0.8558054610531818,0.8594417326087062,0.3761459220939845,0.006913573483579591,0.37418131262594656,0.3698439262704001,0.3826414533837198
Tuned,Decision Tree,No Ensemble,10,0.7537300037899823,0.004226961557946184,0.7536683944104854,0.7529311956710092,0.7549887763576041,0.20634526437910733,0.01164824541338549,0.2082828112030699,0.19746199666181805,0.21044942746355144,0.7019946808510639,0.02611263342262464,0.7071143617021276,0.6923204787234042,0.7204122340425532,0.31850517392501076,0.011254977762803396,0.3209637287711331,0.30995498052692727,0.3234667207920661,0.8303962821850819,0.005204865994040731,0.8293585156512842,0.8268951815448383,0.8332465923885451,0.3293502423523903,0.008941692640364362,0.3283250661365227,0.32462903621587813,0.33200602742964835
Tuned,Logistic Regression,No Ensemble,10,0.7534602493940082,0.0025399252856550068,0.7543483776545077,0.752785326637698,0.7549309987616689,0.1899301665939056,0.0017120434144294642,0.19009887091453026,0.18913635140317114,0.19062920907443143,0.7299534574468085,0.005918113468575551,0.7297207446808511,0.7274767287234043,0.7334607712765957,0.30142421285220083,0.0022780962391971008,0.30157412262868405,0.30100204290918137,0.3021492357494642,0.8330166180811289,0.003286787359569846,0.8334477056071724,0.832226752109951,0.8347208424150826,0.33186209958622875,0.007380054688506896,0.3318557834423237,0.328821194427474,0.33654050410289305
Tuned,Random Forest,Ensemble,10,0.7741223093912518,0.003877012004173674,0.7734224103729992,0.7709627457534971,0.7771901936488409,0.237016131349343,0.0022727174731492225,0.23737106262894606,0.236289736408736,0.23886533234982496,0.7125997340425532,0.011236997194917277,0.7116023936170213,0.703873005319149,0.7239860372340425,0.3556876592042793,0.0021772062156698176,0.3558008401880133,0.3550713904727625,0.3568568922471666,0.8571746944801797,0.0027448290028829286,0.85581792919396,0.8549188821316143,0.8590227114403504,0.3731617437948065,0.00820518668700054,0.3741511107016773,0.36553809189382364,0.37974533745896816
Tuned,SVM (Lineal),No Ensemble,10,0.7372892867385075,0.0023733428715110054,0.7373108112284812,0.7354284158862072,0.7382756527459131,0.17239798629920672,0.0008231261253598745,0.17229829095790505,0.17203927105703967,0.1729180563459439,0.7233045212765956,0.005604794221405247,0.722406914893617,0.718999335106383,0.726313164893617,0.2784309444280469,0.0013816126187572062,0.27834546176133323,0.27757605180095096,0.2794619580823373,0.8053138517329035,0.0028201796788702147,0.8054342287177041,0.8032318596557653,0.8074367690793687,0.27233893715242935,0.0047868596332372206,0.2718051751030618,0.2688590567763044,0.27630396441142036
Tuned,XGBoost,Ensemble,10,0.7618564947021318,0.0055187567819795875,0.7610671884563625,0.7585876444804076,0.765660744840456,0.27003775214366404,0.004828073548651245,0.2697096146215858,0.26650577510553836,0.27338682282097826,0.649534574468085,0.013052553975503643,0.6461103723404256,0.6410405585106382,0.6624833776595744,0.38142931640624866,0.005385732507407003,0.3808542882619409,0.3782945968096566,0.3838750564709292,0.8549332075790526,0.002958419114276846,0.8534421085905928,0.8528045817459404,0.8569979898811779,0.36423382800011844,0.006343927062803367,0.36219594003758415,0.3602451420135291,0.370171994110883
